Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;n.i.;;;;;
;;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF
GRECIA;EUROPA COMUNITARIA;51;52;103;59;41;100;17;33;50;21;18;39;30;16;46;12;15;27;51;34;85;14;21;35;16;19;35;22;24;46;12;9;21;15;18;33;13;9;22;7;12;19;23;21;44;0;0;0;363;342;705
GUINEA;AFRICA;406;61;467;2;3;5;3;0;3;7;6;13;5;3;8;34;9;43;3;0;3;2;1;3;3;2;5;0;1;1;9;3;12;0;2;2;11;2;13;15;17;32;34;35;69;0;0;0;534;145;679
CROAZIA;EUROPA NON COMUNITARIA;82;61;143;4;35;39;7;17;24;8;20;28;14;31;45;18;26;44;7;41;48;17;16;33;36;24;60;16;17;33;4;13;17;7;22;29;8;26;34;11;20;31;13;32;45;3;2;5;255;403;658
KOSOVO;EUROPA NON COMUNITARIA;10;5;15;2;1;3;6;2;8;9;4;13;10;18;28;230;193;423;21;10;31;18;8;26;10;4;14;9;4;13;3;5;8;6;6;12;14;3;17;19;12;31;0;1;1;0;0;0;367;276;643
REP. DEMOC. DEL CONGO;AFRICA;124;102;226;9;9;18;17;24;41;6;14;20;19;18;37;23;22;45;9;8;17;2;1;3;3;5;8;9;6;15;5;9;14;12;22;34;29;29;58;22;34;56;6;16;22;0;0;0;295;319;614
EL SALVADOR;AMERICA CENTRALE;22;47;69;7;37;44;9;22;31;5;13;18;7;13;20;8;21;29;12;27;39;0;11;11;3;11;14;5;10;15;3;11;14;3;16;19;11;21;32;42;74;116;56;83;139;0;0;0;193;417;610
CAMEROUN;AFRICA;101;71;172;2;13;15;7;7;14;25;18;43;11;16;27;58;61;119;20;15;35;2;4;6;21;19;40;12;14;26;4;3;7;5;5;10;18;11;29;14;13;27;21;17;38;0;0;0;321;287;608
PAESI BASSI;EUROPA COMUNITARIA;58;52;110;21;36;57;7;11;18;8;14;22;6;17;23;4;11;15;11;24;35;12;17;29;14;23;37;35;44;79;4;14;18;18;28;46;6;17;23;10;24;34;19;33;52;0;1;1;233;366;599
SIRIA;ASIA;141;27;168;12;9;21;15;14;29;21;6;27;42;21;63;52;38;90;30;15;45;4;0;4;11;10;21;3;2;5;6;3;9;12;25;37;8;1;9;5;4;9;20;13;33;0;0;0;382;188;570
GHANA;AFRICA;196;16;212;0;7;7;0;7;7;16;12;28;35;17;52;96;46;142;4;9;13;10;3;13;14;12;26;4;4;8;4;2;6;5;5;10;11;8;19;9;2;11;5;5;10;0;0;0;409;155;564
BIELORUSSIA;EUROPA NON COMUNITARIA;20;59;79;8;28;36;11;23;34;6;16;22;4;27;31;8;32;40;14;43;57;7;25;32;7;32;39;20;36;56;9;17;26;13;19;32;7;23;30;7;24;31;5;13;18;0;0;0;146;417;563
